Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 1.5552561283111572
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 400435, 'avgObjSize': 1095.922209597063, 'dataSize': 438845610.0, 'storageSize': 78286848.0, 'numExtents': 0, 'indexes': 1, 'indexSize': 3801088.0, 'fsUsedSize': 223008821248.0, 'fsTotalSize': 494586032128.0, 'ok': 1.0}
2018-08-02 16:06:03.652881, 0.0, started, 0, Thread-0, windows-400000-5----
2018-08-02 16:06:04.105028, 0.0020017623901367188, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.117334, 0.003000974655151367, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.119334, 0.0010013580322265625, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.118332, 0.002003192901611328, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.120335, 0.0, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.119334, 0.0020012855529785156, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.131343, 0.0020008087158203125, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.132341, 0.0020012855529785156, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.132341, 0.0020012855529785156, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.133344, 0.0009992122650146484, read, 2118, Thread-1, windows-400000-5----

2018-08-02 16:06:04.134343, 0.001001119613647461, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.144351, 0.003000020980834961, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.145350, 0.002000570297241211, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.146351, 0.0010001659393310547, comment, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.146351, 0.0020017623901367188, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.147351, 0.001001596450805664, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.160361, 0.0020020008087158203, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.158359, 0.004004240036010742, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.159359, 0.004003047943115234, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.162363, 0.0009992122650146484, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.161362, 0.0020008087158203125, comment, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.173370, 0.0009984970092773438, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.174369, 0.004004001617431641, comment, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.176372, 0.002000570297241211, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.175371, 0.003002166748046875, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.177373, 0.0009999275207519531, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.186378, 0.0009992122650146484, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.189380, 0.0030045509338378906, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.189380, 0.0035054683685302734, comment, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.190380, 0.002505779266357422, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.191380, 0.002007007598876953, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.197654, 0.00099945068359375, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.204892, 0.0010020732879638672, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.203394, 0.0025005340576171875, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.203893, 0.002001523971557617, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.205394, 0.000499725341796875, comment, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.209004, 0.0010023117065429688, comment, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.217010, 0.0010006427764892578, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.217010, 0.0020003318786621094, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.216009, 0.0030014514923095703, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.218010, 0.0009996891021728516, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.221013, 0.0, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.230018, 0.001001596450805664, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.230018, 0.0020012855529785156, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.229019, 0.0030002593994140625, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.231020, 0.0009996891021728516, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.232019, 0.0009996891021728516, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.243028, 0.0019998550415039062, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.244028, 0.0009999275207519531, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.244028, 0.002000093460083008, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.242026, 0.004001617431640625, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.246028, 0.001001596450805664, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.256036, 0.0, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.257037, 0.0030012130737304688, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.257037, 0.0030012130737304688, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.258036, 0.0020029544830322266, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.259037, 0.0010008811950683594, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.267043, 0.00099945068359375, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.271046, 0.002000570297241211, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.271046, 0.002000570297241211, read, 2118, Thread-2, windows-400000-5----

2018-08-02 16:06:04.273046, 0.0, read, 3150, Thread-4, windows-400000-5----

2018-08-02 16:06:04.272044, 0.0020024776458740234, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.279051, 0.0009996891021728516, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.285054, 0.0010006427764892578, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.284054, 0.002000570297241211, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.284054, 0.0010006427764892578, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.286055, 0.0010006427764892578, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.291057, 0.0015075206756591797, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.298888, 0.0009999275207519531, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.298386, 0.0015017986297607422, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.297387, 0.0025005340576171875, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.299386, 0.0010006427764892578, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.303892, 0.0009982585906982422, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.312019, 0.0009989738464355469, post, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.312019, 0.0020008087158203125, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.311029, 0.0029909610748291016, comment, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.313018, 0.0010018348693847656, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.316021, 0.0, read, 2118, Thread-0, windows-400000-5----

2018-08-02 16:06:04.325026, 0.0030028820037841797, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.327028, 0.002000570297241211, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.326027, 0.004004478454589844, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.328029, 0.002003192901611328, comment, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.329028, 0.0010035037994384766, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.339035, 0.0009992122650146484, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.340034, 0.002003192901611328, comment, 0, Thread-3, windows-400000-5----

