Benchmark started.
Connection established
Initial posts added. 362.41374373435974
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 1000000, 'avgObjSize': 1086.0, 'dataSize': 1086000000.0, 'storageSize': 1073594368.0, 'numExtents': 0, 'indexes': 1, 'indexSize': 9617408.0, 'fsUsedSize': 168740970496.0, 'fsTotalSize': 494586032128.0, 'ok': 1.0}
2018-05-16 11:50:10.428524, 0.003002166748046875, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.429525, 0.002001047134399414, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.430025, 0.0015020370483398438, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.430525, 0.0015015602111816406, upvote, Thread-3, windows-1000000-5

2018-05-16 11:50:10.431027, 0.00099945068359375, upvote, Thread-1, windows-1000000-5

2018-05-16 11:50:10.443033, 0.004503488540649414, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.446037, 0.0015003681182861328, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.444034, 0.0035026073455810547, upvote, Thread-1, windows-1000000-5

2018-05-16 11:50:10.445035, 0.00250244140625, upvote, Thread-4, windows-1000000-5

2018-05-16 11:50:10.447036, 0.0010008811950683594, read, Thread-2, windows-1000000-5
2018-05-16 11:50:10.457924, 0.00099945068359375, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.458423, 0.002002239227294922, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.459424, 0.001001596450805664, comment, Thread-4, windows-1000000-5

2018-05-16 11:50:10.459925, 0.0005006790161132812, upvote, Thread-1, windows-1000000-5


2018-05-16 11:50:10.469437, 0.0009996891021728516, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.471436, 0.0005002021789550781, upvote, Thread-3, windows-1000000-5

2018-05-16 11:50:10.472437, 0.0005013942718505859, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.478411, 0.0009999275207519531, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.480913, 0.0004987716674804688, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.484413, 0.0005013942718505859, upvote, Thread-1, windows-1000000-5

2018-05-16 11:50:10.470938, 0.017475128173828125, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.489916, 0.0010018348693847656, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.492420, 0.0009982585906982422, comment, Thread-0, windows-1000000-5

2018-05-16 11:50:10.495422, 0.0009987354278564453, upvote, Thread-1, windows-1000000-5

2018-05-16 11:50:10.482913, 0.013507604598999023, upvote, Thread-3, windows-1000000-5

2018-05-16 11:50:10.498924, 0.0009992122650146484, upvote, Thread-4, windows-1000000-5

2018-05-16 11:50:10.501424, 0.0010004043579101562, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.503926, 0.0010004043579101562, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.506928, 0.0010001659393310547, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.507429, 0.0005013942718505859, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.510430, 0.001001119613647461, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.512932, 0.00099945068359375, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.515433, 0.0010013580322265625, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.518935, 0.0010013580322265625, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.519936, 0.0005004405975341797, upvote, Thread-1, windows-1000000-5

2018-05-16 11:50:10.521936, 0.0010018348693847656, upvote, Thread-4, windows-1000000-5

2018-05-16 11:50:10.524438, 0.0010006427764892578, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.527440, 0.0010020732879638672, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.530443, 0.0015010833740234375, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.531445, 0.0010001659393310547, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.533445, 0.0010001659393310547, upvote, Thread-4, windows-1000000-5

2018-05-16 11:50:10.535947, 0.0009996891021728516, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.538949, 0.001001596450805664, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.542453, 0.0014989376068115234, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.543452, 0.0004994869232177734, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.545455, 0.0009987354278564453, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.547956, 0.0004990100860595703, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.550456, 0.0010001659393310547, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.554472, 0.0009999275207519531, read, Thread-3, windows-1000000-5

